Report generated 27 January 2026 02:19:27 PM

"Information on the Medicine Shortage Reports Database"
"The TGA publishes information about medicines in Australia that are in shortage, may shortly become subject to shortage or have been discontinued from supply. This information is based on details provided to the TGA by sponsors and is published on the TGA’s Medicine Shortage Reports Database."
"More information about medicine shortages is available at https://www.tga.gov.au/hubs/medicine-shortages."
""
"About the release of this information"
"While reasonable care is taken to ensure that the information is an accurate record of medicine shortages or discontinuations of supply that responsible entities have reported to the TGA, the TGA does not guarantee or warrant the accuracy, reliability, completeness or currency of the information (particularly as the Medicine Shortage Reports Database is subject to frequent updates because of the mandatory reporting requirements) or its usefulness in achieving any purpose."
"To the fullest extent permitted by law, including but not limited to section 61A of the Therapeutic Goods Act 1989, the TGA will not be liable for any loss, damage, cost or expense incurred in or arising by reason of any person relying on this information."

"ARTG ID","ARTG name","Active ingredients","Dosage form","Quantity of active ingredients","Sponsor","Phone","Shortage status","Supply impact start date","Supply impact end date","Deletion from market","Shortage impact rating","Availability","Reason","Management action","Last updated"
"169623","ACTRAPID PENFILL human insulin (rys) 100IU/mL injection multidose cartridge","insulin","Injection, solution","100 IU/mL","Novo Nordisk Pharmaceuticals Pty Ltd","1800 668 626","Discontinued",,,"31/12/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative presentation is available.","19/09/2024"
"169633","PROTAPHANE INNOLET human insulin (rys) 100IU/mL injection multidose cartridge","insulin","Injection, suspension","100 IU/mL","Novo Nordisk Pharmaceuticals Pty Ltd","1800 668 626","Discontinued",,,"1/02/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative presentation is available.","19/09/2024"
"169635","PROTAPHANE PENFILL human insulin (rys) 100IU/mL injection multidose cartridge","insulin","Injection, suspension","100 IU/mL","Novo Nordisk Pharmaceuticals Pty Ltd","1800 668 626","Discontinued",,,"31/12/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative presentation is available.","19/09/2024"
"170446","OVIDREL choriogonadotropin alfa (rch) 250 microgram/ 0.5mL solution for injection pre-filled pen","Choriogonadotropin alfa","Injection, solution","250 microgram","Merck Healthcare Pty Ltd","1800 257 348","Current","1/07/2024","30/09/2027",,"Critical","Limited Availability","Unexpected increase in consumer demand","The sponsor is closely controlling the supply. An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.","23/12/2025"
"172017","SIMIPEX pramipexole dihydrochloride monohydrate 0.125 mg tablet blister pack","pramipexole dihydrochloride monohydrate","Tablet",".125 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","26/05/2025","20/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available. An overseas-registered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.","19/01/2026"
"172018","SIMIPEX pramipexole dihydrochloride monohydrate 0.25 mg tablet blister pack","pramipexole dihydrochloride monohydrate","Tablet",".25 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","26/06/2025","20/02/2026",,"Low","Unavailable","Manufacturing","An overseas-registered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.","8/01/2026"
"172021","SIMIPEX pramipexole dihydrochloride monohydrate 1 mg tablet blister pack","pramipexole dihydrochloride monohydrate","Tablet","1 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","18/12/2025","22/01/2026",,"Low","Available","Manufacturing","","22/01/2026"
"172068","VASAFIL 100 sildenafil (as citrate) 100 mg tablet blister pack","sildenafil citrate","Tablet, film coated","140.45 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","18/09/2025","19/01/2026",,"Low","Available","Unexpected increase in demand due to other sponsors unable to supply","","19/01/2026"
"172213","LEVEMIR PENFILL insulin detemir (rys) 100 U/mL injection cartridge","Insulin detemir","Injection, solution","100 U/mL","Novo Nordisk Pharmaceuticals Pty Ltd","1800 668 626","Discontinued",,,"31/12/2026","Medium","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","The TGA is investigating management strategies and will consult with subject matter experts and sponsors. The sponsor will continue to supply until the market deletion date.","19/09/2024"
"172234","LEVEMIR FLEXPEN insulin detemir (rys) 100 U/mL injection cartridge","Insulin detemir","Injection, solution","100 U/mL","Novo Nordisk Pharmaceuticals Pty Ltd","1800 668 626","Discontinued",,,"31/12/2026","Medium","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","The TGA is investigating management strategies and will consult with subject matter experts and sponsors. The sponsor will continue to supply until the market deletion date.","19/09/2024"
"172972","TEMIZOLE 140 temozolomide 140 mg capsule bottle","temozolomide","Capsule, hard","140 mg","Viatris Pty Ltd","1800 314 527","Anticipated","6/02/2026","30/04/2026",,"Low","Available","Manufacturing","Alternative brands are available.","15/01/2026"
"172973","TEMIZOLE 5 temozolomide 5 mg capsule bottle","temozolomide","Capsule, hard","5 mg","Viatris Pty Ltd","1800 314 527","Current","8/10/2025","31/03/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","13/01/2026"
"173138","SIMPRAL pramipexole dihydrochloride monohydrate 0.25 mg tablet blister pack","pramipexole dihydrochloride monohydrate","Tablet",".25 mg","Alphapharm Pty Ltd","1800274276","Current","17/12/2024","30/04/2026",,"Low","Unavailable","Manufacturing","An alternative brand is available. An overseas-registered product has been approved for supply under Section 19A. See the website and search for the active ingredient: www.tga.gov.au/resources/section-19a-approvals","27/01/2026"
"173139","SIMPRAL pramipexole dihydrochloride monohydrate 0.125 mg tablet blister pack","pramipexole dihydrochloride monohydrate","Tablet",".125 mg","Alphapharm Pty Ltd","1800274276","Current","13/06/2025","30/04/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available. An overseas-registered product has been approved for supply under Section 19A. See the website and search for the active ingredient: www.tga.gov.au/resources/section-19a-approvals","27/01/2026"
"173182","APX-ONDANSETRON ondansetron (as hydrochloride dihydrate) 8 mg tablet blister pack","ondansetron hydrochloride dihydrate","Tablet, film coated","9.972 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","24/07/2025","22/01/2026",,"Low","Available","Manufacturing","","22/01/2026"
"173184","APX-ONDANSETRON ondansetron (as hydrochloride dihydrate) 4 mg tablet blister pack","ondansetron hydrochloride dihydrate","Tablet, film coated","4.986 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","16/01/2026","16/01/2026",,"Low","Available","Manufacturing","","19/01/2026"
"173994","MAXOR omeprazole 20mg capsule blister pack","omeprazole","Capsule, enteric","20 mg","Alphapharm Pty Ltd","1800274276","Current","2/12/2025","6/02/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","4/12/2025"
"17572","ALEPAM 15 oxazepam 15mg tablet bottle","oxazepam","Tablet, uncoated","15 mg","Alphapharm Pty Ltd","1800274276","Discontinued",,,"13/06/2025","Low","Unavailable","Manufacturing","This product is being replaced by ALEPAM 15MG TAB 25 BL AU - ARTG - 385081","13/06/2025"
"176180","OMEPRAZOLE SANDOZ omeprazole 20mg (as magnesium) enteric-coated tablet bottle","omeprazole magnesium","Tablet, enteric coated","20.6 mg","Sandoz Pty Ltd","1800726369","Discontinued",,,"31/10/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative brands are available.","26/06/2025"
"17655","METROGYL 400 metronidazole 400mg tablet bottle","metronidazole","Tablet, uncoated","400 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","4/04/2025","20/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available","22/01/2026"
"17708","ALLOPURINOL ALPHAPHARM 300 Allopurinol 300mg tablet bottle","allopurinol","Tablet","300 mg","Alphapharm Pty Ltd","1800274276","Discontinued",,,"11/09/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","This product is being replaced with PROGOUT VIATRIS allopurinol 300 mg tablet blister pack - ARTG 269642","11/09/2025"
"177111","DBL SODIUM NITROPRUSSIDE CONCENTRATED INJECTION sodium nitroprusside 25 mg/mL concentrated injection vial","sodium nitroprusside","Injection, solution","50 mg","Pfizer Australia Pty Ltd","1800-675-229","Resolved","2/12/2025","2/12/2025",,"Low","Available","Manufacturing","","2/12/2025"
"177312","APO-EXEMESTANE exemestane 25mg tablet blister pack","exemestane","Tablet, sugar coated","25 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","18/12/2025","8/01/2026",,"Low","Available","Manufacturing","","8/01/2026"
"17905","ACTILYSE alteplase (rch) 50 mg powder for injection vial  with diluent vial","Alteplase","Injection, powder for","50 mg","Boehringer Ingelheim Pty Ltd","0288758800","Resolved","3/11/2025","20/11/2025",,"Critical","Available","Unexpected increase in consumer demand","","20/11/2025"
"179086","OLANZAPINE SANDOZ ODT 10 olanzapine 10mg orally disintegrating tablet blister pack","olanzapine","Tablet, orally disintegrating","10 mg","Sandoz Pty Ltd","1800726369","Resolved","20/10/2025","30/10/2025",,"Low","Available","Manufacturing","","3/11/2025"
"179092","OLANZAPINE SANDOZ ODT 5 olanzapine 5mg orally disintegrating tablet blister pack","olanzapine","Tablet, orally disintegrating","5 mg","Sandoz Pty Ltd","1800726369","Resolved","16/10/2025","8/01/2026",,"Low","Available","Manufacturing","","16/01/2026"
"179752","PERISYL COMBI 4/1.25  perindopril erbumine/indapamide hemihydrate 4mg/1.25mg tablet blister pack","indapamide hemihydrate~perindopril erbumine","Tablet","1.25 mg~4 mg","Alphapharm Pty Ltd","1800274276","Current","17/07/2025","27/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","4/12/2025"
"179821","TROVAS atorvastatin (as calcium trihydrate) 80 mg tablets bottle","atorvastatin calcium trihydrate","Tablet, film coated","86.76 mg","Sun Pharma ANZ Pty Ltd","0298872600","Current","30/09/2025","20/02/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","16/12/2025"
"179822","APO-ATORVASTATIN atorvastatin (as calcium trihydrate) 20 mg tablets bottle","atorvastatin calcium trihydrate","Tablet, film coated","21.69 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","4/09/2025","27/11/2025",,"Low","Available","Manufacturing","","28/11/2025"
"179834","TROVAS atorvastatin (as calcium trihydrate) 20 mg tablets bottle","atorvastatin calcium trihydrate","Tablet, film coated","21.69 mg","Sun Pharma ANZ Pty Ltd","0298872600","Current","21/09/2025","27/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available","20/01/2026"
"179857","APO-ATORVASTATIN atorvastatin (as calcium trihydrate) 40 mg tablets bottle","atorvastatin calcium trihydrate","Tablet, film coated","43.38 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","16/10/2025","11/12/2025",,"Low","Available","Manufacturing","","11/12/2025"
"179860","TROVAS atorvastatin (as calcium trihydrate) 40 mg tablets bottle","atorvastatin calcium trihydrate","Tablet, film coated","43.38 mg","Sun Pharma ANZ Pty Ltd","0298872600","Current","22/09/2025","20/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available","17/12/2025"
"180561","ISABELLE TABLETS 3 mg/30 micrograms drospirenone/ethinylestradiol 3 mg/30 micrograms tablet blister pack","drospirenone~ethinylestradiol","Tablet","3 mg~30 microgram","Lupin Australia Pty Limited","03 9809 7900","Resolved","28/08/2025","3/12/2025",,"Low","Available","Manufacturing","","8/12/2025"
"182028","GAMINE XR galantamine (as hydrobromide) 8mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","10.252 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","28/03/2025","20/03/2026",,"Low","Unavailable","Manufacturing","An overseas registered product has been approved for supply under Section 19A. The approval holder, Link Medical Products Pty Ltd, can be contacted for details on supply on 1800 181 060.","8/01/2026"
"182030","APO-GALANTAMINE MR galantamine (as hydrobromide) 8 mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","10.252 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","10/01/2025","15/05/2026",,"Low","Unavailable","Manufacturing","An overseas registered product has been approved for supply under Section 19A. The approval holder, Link Medical Products Pty Ltd, can be contacted for details on supply on 1800 181 060.","6/01/2026"
"182034","APO-GALANTAMINE MR galantamine (as hydrobromide) 24 mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","30.756 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","3/07/2025","13/03/2026",,"Low","Unavailable","Manufacturing","The sponsor is working to expedite next shipment","7/01/2026"
"182038","GAMINE XR galantamine (as hydrobromide) 16mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","20.504 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","31/01/2025","29/05/2026",,"Low","Unavailable","Manufacturing","An overseas registered product has been approved for supply under Section 19A. The approval holder, Link Medical Products Pty Ltd, can be contacted for details on supply on 1800 181 060.","6/01/2026"
"182040","GAMINE XR galantamine (as hydrobromide) 24mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","30.756 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","29/10/2024","29/05/2026",,"Low","Unavailable","Manufacturing","The sponsor is working to expedite the next shipment.","8/01/2026"
"182041","APO-GALANTAMINE MR galantamine (as hydrobromide) 16 mg modified release capsules blister pack","galantamine hydrobromide","Capsule, modified release","20.504 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","19/12/2024","13/03/2026",,"Low","Unavailable","Manufacturing","An overseas registered product has been approved for supply under Section 19A. The approval holder, Link Medical Products Pty Ltd, can be contacted for details on supply on 1800 181 060.","8/01/2026"
"182126","BISOPROLOL-WGR bisoprolol fumarate 2.5mg tablet blister pack","bisoprolol fumarate","Tablet","2.5 mg","GM Pharma International Pty Ltd","1800 936 140","Resolved","21/10/2025","30/10/2025",,"Low","Available","Manufacturing","","31/10/2025"
"182302","TOBI PODHALER tobramycin 28 mg hard capsule for inhalation blister pack with Podhaler device","tobramycin","Capsule, hard","28 mg","Viatris Pty Ltd","1800 314 527","Current","14/11/2025","27/02/2026",,"Medium","Emergency Supply Only","Manufacturing","The sponsor is working to expedite the next shipment.","20/11/2025"
"183376","MIRTANZA mirtazapine 15 mg tablets blister pack","mirtazapine","Tablet, film coated","15 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","22/01/2026","6/03/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","23/01/2026"
"183404","MIRTANZA ODT mirtazapine 15 mg orally disintegrating tablet blister pack","mirtazapine","Tablet, orally disintegrating","15 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Anticipated","27/03/2026","15/05/2026",,"Low","Available","Manufacturing","The sponsor is working to expedite next shipment. Non-disintegrating tablets in the same strength are available.","22/01/2026"
"184244","INSIG indapamide hemihydrate 2.5mg sugar coated tablet blister pack","indapamide hemihydrate","Tablet, sugar coated","2.5 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","3/10/2025","20/03/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","19/01/2026"
"184809","APO-PERINDOPRIL ARGININE perindopril arginine 10 mg tablet blister pack","perindopril arginine","Tablet, film coated","10 mg","Arrotex Pharmaceuticals Pty Ltd","1800195055","Discontinued",,,"27/05/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Other generic by same sponsor available -  APX-PERINDOPRIL ARGININE perindopril arginine 10 mg tablet bottle (ARTG 269540)","28/05/2025"
"184825","MONTELAIR 5 montelukast 5 mg (as sodium) chewable tablet blister pack","montelukast sodium","Tablet, chewable","5.2 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Anticipated","27/03/2026","17/04/2026",,"Low","Available","Manufacturing","Alternative brands are available.","9/01/2026"
"184832","MONTELUKAST SANDOZ 4 montelukast 4 mg (as sodium) chewable tablet blister pack","montelukast sodium","Tablet, chewable","4.16 mg","Accord Healthcare Pty Ltd","0418348894","Current","28/05/2025","2/03/2026",,"Medium","Unavailable","Manufacturing","An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty, can be contacted for details on supply on 1300 788 261.","11/12/2025"
"184837","MONTELAIR 4 montelukast 4 mg (as sodium) chewable tablet blister pack","montelukast sodium","Tablet, chewable","4.16 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","19/06/2025","20/02/2026",,"Low","Unavailable","Manufacturing","An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty, can be contacted for details on supply on 1300 788 261.","19/01/2026"
"186566","ROPIBAM 0.2% Ropivacaine hydrochloride 40mg/20mL solution for injection ampoule","ropivacaine hydrochloride","Injection, solution","2 mg/mL","Boucher & Muir Pty Ltd","1800 627 680","Resolved","19/09/2025","5/01/2026",,"Low","Available","Unexpected increase in demand due to other sponsors unable to supply","","5/01/2026"
"186568","ROPIBAM 1% Ropivacaine hydrochloride 200mg/20mL solution for injection ampoule","ropivacaine hydrochloride","Injection, solution","10 mg/mL","Boucher & Muir Pty Ltd","1800 627 680","Current","24/10/2025","28/02/2026",,"Low","Unavailable","Unexpected increase in demand due to other sponsors unable to supply","Sponsor is working to expedite the next shipment.","4/11/2025"
"186569","ROPIBAM 0.75% Ropivacaine hydrochloride 150mg/20mL solution for injection ampoule","ropivacaine hydrochloride","Injection, solution","7.5 mg/mL","Boucher & Muir Pty Ltd","1800 627 680","Resolved","24/10/2025","5/01/2026",,"Low","Available","Unexpected increase in demand due to other sponsors unable to supply","","5/01/2026"
"186571","ROPIBAM 0.2% Ropivacaine hydrochloride 400mg/200mL solution for injection bag","ropivacaine hydrochloride","Injection, solution","2 mg/mL","Boucher & Muir Pty Ltd","1800 627 680","Discontinued",,,"18/11/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative generic products are available.","18/11/2025"
"186573","ROPIBAM 0.2% Ropivacaine hydrochloride 200mg/100mL solution for injection bag","ropivacaine hydrochloride","Injection, solution","2 mg/mL","Boucher & Muir Pty Ltd","1800 627 680","Discontinued",,,"18/11/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative generic products are available.","18/11/2025"
"18695","ALBEY PAPER WASP VENOM paper wasp venom 550 microgram powder for injection vial with 4 vials of Albumin saline diluent","Paper wasp venom","Injection, powder for","550 microgram","Stallergenes Australia Pty Ltd","1800 824 166","Current","6/03/2018","31/07/2026",,"Critical","Unavailable","Manufacturing","An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient","14/05/2025"
"187039","PLAVICOR 75, clopidogrel (as hydrogen sulfate) 75 mg, film coated tablets, blister pack","clopidogrel hydrogen sulfate","Tablet, film coated","97.875 mg","Pharmacor Pty Ltd","1300138805","Resolved","12/03/2025","12/11/2025",,"Low","Available","Unexpected increase in consumer demand","","12/11/2025"
"187042","CLOPIDOGREL SANDOZ PHARMA clopidogrel (as hydrogen sulfate) 75 mg, film coated tablets, blister pack","clopidogrel hydrogen sulfate","Tablet, film coated","97.875 mg","Sandoz Pty Ltd","1800726369","Current","10/07/2025","16/03/2026",,"Low","Limited Availability","Unexpected increase in demand due to other sponsors unable to supply","Overseas-registered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","28/11/2025"
"187216","SUMATRAN sumatriptan (as succinate) 50 mg tablet blister pack","sumatriptan succinate","Tablet, film coated","69.99 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","7/11/2025","27/03/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","7/11/2025"
"187403","DILART HCT 160/12.5 mg valsartan 160 mg/ hydrochlorothiazide 12.5 mg film-coated tablet blister pack","valsartan~hydrochlorothiazide","Tablet, film coated","160 mg~12.5 mg","Alphapharm Pty Ltd","1800274276","Current","15/01/2026","27/02/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","16/01/2026"
"187430","ZOPRAL ODT lansoprazole 15 mg orally disintegrating tablet blister pack","lansoprazole","Tablet, orally disintegrating","15 mg","Alphapharm Pty Ltd","1800274276","Current","13/01/2026","20/03/2026",,"Low","Limited Availability","Unexpected increase in demand due to other sponsors unable to supply","An alternative brand is available.","15/01/2026"
"187431","ZOPRAL ODT lansoprazole 30 mg orally disintegrating tablet blister pack","lansoprazole","Tablet, orally disintegrating","30 mg","Alphapharm Pty Ltd","1800274276","Current","8/10/2025","20/03/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","13/01/2026"
"188016","TAMIFLU oseltamivir (as phosphate) 6 mg/mL powder for oral suspension","oseltamivir phosphate","Oral Liquid, powder for","7.88 mg/mL","Roche Products Pty Ltd","1800 233 950","Current","16/12/2025","2/03/2026",,"Low","Limited Availability","Unexpected increase in consumer demand","Sponsor is working to expedite the next shipment. Other dosage forms are available.","16/12/2025"
"188711","SILDATIO PHT sildenafil (as citrate) 20 mg film-coated tablets blister pack","sildenafil citrate","Tablet, film coated","28.1 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","11/04/2025","13/03/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","23/10/2025"
"189216","APX-MONTELUKAST montelukast (as sodium) 5 mg chewable tablet blister pack","montelukast sodium","Tablet, chewable","5.2 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Anticipated","20/03/2026","22/05/2026",,"Low","Available","Manufacturing","This product has replaced AUST R 184824. Alternative brands are available.","8/01/2026"
"189217","APX-MONTELUKAST montelukast (as sodium) 4 mg chewable tablet blister pack","montelukast sodium","Tablet, chewable","4.16 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","8/07/2025","22/01/2026",,"Low","Available","Manufacturing","","22/01/2026"
"189225","APX-MONTELUKAST montelukast (as sodium) 10 mg tablet blister pack","montelukast sodium","Tablet","10.4 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Anticipated","3/04/2026","17/04/2026",,"Low","Available","Commercial Changes / Commercial viability","Alternative brands are available.","22/01/2026"
"189652","FINASTERIDE GH 5 5 mg finasteride 5 mg film-coated tablet blister pack","finasteride","Tablet, film coated","5 mg","Generic Health Pty Ltd","03 9809 7900","Current","17/10/2025","2/02/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","22/12/2025"
"189653","FINAPEN 1 mg finasteride 1 mg film-coated tablet blister pack","finasteride","Tablet, film coated","1 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","19/06/2025","27/11/2025",,"Low","Available","Manufacturing","","28/11/2025"
"190940","APO-ISOTRETINOIN isotretinoin 10mg capsule - soft blister pack","isotretinoin","Capsule, soft","10 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","28/03/2025","27/03/2026",,"Low","Unavailable","Manufacturing","Alternative generic products are available.","23/10/2025"
"190941","APO-ISOTRETINOIN isotretinoin 20mg capsule blister pack","isotretinoin","Capsule, soft","20 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","11/07/2025","24/04/2026",,"Low","Unavailable","Manufacturing","An alternative generic product is available.","10/12/2025"
"191947","AZITHROMYCIN VIATRIS Azithromycin (as monohydrate) 500mg Powder for Injection Vial","azithromycin","Injection, powder for","500 mg","Alphapharm Pty Ltd","1800274276","Current","28/04/2023","30/06/2026",,"Low","Unavailable","Commercial Changes / Commercial viability","Other generic by same sponsor available - [AZITH azithromycin (as monohydrate) 500 mg powder for injection vial (ARTG 146755)].","10/12/2025"
"195192","CARLEVENT levodopa/carbidopa/entacapone 200/50/200 mg tablet bottle","levodopa~carbidopa monohydrate~entacapone","Tablet, film coated","200 mg~54 mg~200 mg","Medis Pharma Pty Ltd","02 9251 1088","Resolved","30/05/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195194","CARLEVENT levodopa/carbidopa/entacapone 75/18.75/200 mg tablet bottle","levodopa~carbidopa monohydrate~entacapone","Tablet, film coated","75 mg~20.25 mg~200 mg","Medis Pharma Pty Ltd","02 9251 1088","Resolved","7/08/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195198","CARLEVENT levodopa/carbidopa/entacapone 50/12.5/200 mg tablet bottle","carbidopa monohydrate~entacapone~levodopa","Tablet, film coated","13.5 mg~200 mg~50 mg","Medis Pharma Pty Ltd","+61 2 9251 1088","Resolved","11/09/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195747","CARLEVENT levodopa/carbidopa/entacapone 100/25/200 mg tablet bottle","levodopa~entacapone~carbidopa monohydrate","Tablet, film coated","100 mg~200 mg~27 mg","Medis Pharma Pty Ltd","02 9251 1088","Resolved","2/06/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195748","CARLEVENT levodopa/carbidopa/entacapone 125/31.25/200 mg tablet bottle","entacapone~levodopa~carbidopa monohydrate","Tablet, film coated","200 mg~125 mg~33.75 mg","Medis Pharma Pty Ltd","02 9251 1088","Resolved","31/03/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195749","CARLEVENT levodopa/carbidopa/entacapone 150/37.5/200 mg tablet bottle","entacapone~carbidopa monohydrate~levodopa","Tablet, film coated","200 mg~40.5 mg~150 mg","Medis Pharma Pty Ltd","02 9251 1088","Resolved","30/05/2025","1/12/2025",,"Low","Available","Manufacturing","","16/12/2025"
"195806","ROPIVACAINE KABI ropivacaine hydrochloride 75 mg/10 mL solution for injection ampoule","ropivacaine hydrochloride","Injection, solution","75 mg","Fresenius Kabi Australia Pty Ltd","0293915555","Resolved","10/11/2025","9/12/2025",,"Medium","Available","Transport / Logistic issues / Storage capacity issues","","10/12/2025"
"195809","ROPIVACAINE KABI ropivacaine hydrochloride 200 mg/20 mL solution for injection ampoule","ropivacaine hydrochloride","Injection, solution","200 mg","Fresenius Kabi Australia Pty Ltd","0293915555","Resolved","11/09/2025","9/12/2025",,"Medium","Available","Transport / Logistic issues / Storage capacity issues","","10/12/2025"
"196472","APO-ENALAPRIL enalapril maleate 5mg tablet blister pack","enalapril maleate","Tablet","5 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","8/01/2026","20/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","8/01/2026"
"196512","MALEAN enalapril maleate 5mg tablet blister pack","enalapril maleate","Tablet","5 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Resolved","24/10/2025","8/01/2026",,"Low","Available","Manufacturing","","8/01/2026"
"196596","PHEBRA NAPROXEN SUSPENSION naproxen 125mg/5mL oral liquid bottle","naproxen","Oral Liquid, suspension","25 mg/mL","Phebra Pty Ltd","0294209199","Resolved","15/04/2025","29/10/2025",,"Medium","Available","Manufacturing","","30/10/2025"
"197285","LUKAIR montelukast (as sodium) 10 mg film-coated tablet blister pack","montelukast sodium","Tablet, film coated","10.4 mg","ORGANON PHARMA PTY LTD","1800023135","Discontinued",,,"30/04/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative generic products are available.","30/08/2024"
"19758","PHENOBARB phenobarbital 30mg tablet bottle","phenobarbital","Tablet, uncoated","30 mg","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","30/10/2025","13/03/2026",,"Medium","Unavailable","Manufacturing","An overseas-registered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd, can be contacted for details on supply on 1300 788 261.","2/01/2026"
"198992","TRANALPHA trandolapril 0.5 mg capsules blister pack","trandolapril","Capsule, hard",".5 mg","Alphapharm Pty Ltd","1800274276","Discontinued",,,"1/10/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative generic products are available.","3/10/2025"
